# N0-SQE,   N0-GMV,  N1-SQE,  N1-GMV,  N0-SQE(curl), N0-GMV(curl)
6.00602e-15 5.40817e-15 2.71711e-16 2.47531e-16 5.43109e-15 4.97691e-15
5.66258e-15 5.09993e-15 2.56324e-16 2.33562e-16 5.11585e-15 4.68841e-15
5.34374e-15 4.81375e-15 2.42031e-16 2.20585e-16 4.82331e-15 4.42067e-15
5.04743e-15 4.54774e-15 2.28739e-16 2.08515e-16 4.55154e-15 4.17193e-15
4.77173e-15 4.30022e-15 2.16365e-16 1.97277e-16 4.29880e-15 3.94058e-15
4.51495e-15 4.06965e-15 2.04833e-16 1.86804e-16 4.06349e-15 3.72519e-15
4.27554e-15 3.85465e-15 1.94075e-16 1.77032e-16 3.84419e-15 3.52444e-15
4.05210e-15 3.65397e-15 1.84029e-16 1.67907e-16 3.63961e-15 3.33716e-15
3.84335e-15 3.46646e-15 1.74639e-16 1.59376e-16 3.44857e-15 3.16226e-15
3.64816e-15 3.29110e-15 1.65853e-16 1.51394e-16 3.27001e-15 2.99879e-15
3.46546e-15 3.12695e-15 1.57626e-16 1.43918e-16 3.10296e-15 2.84584e-15
3.29431e-15 2.97315e-15 1.49914e-16 1.36910e-16 2.94654e-15 2.70262e-15
3.13383e-15 2.82893e-15 1.42679e-16 1.30335e-16 2.79995e-15 2.56839e-15
2.98323e-15 2.69356e-15 1.35887e-16 1.24160e-16 2.66245e-15 2.44247e-15
2.84178e-15 2.56640e-15 1.29503e-16 1.18358e-16 2.53336e-15 2.32426e-15
2.70882e-15 2.44686e-15 1.23500e-16 1.12899e-16 2.41209e-15 2.21319e-15
2.58374e-15 2.33439e-15 1.17849e-16 1.07761e-16 2.29805e-15 2.10875e-15
2.46598e-15 2.22848e-15 1.12527e-16 1.02921e-16 2.19075e-15 2.01047e-15
2.35502e-15 2.12869e-15 1.07510e-16 9.83575e-17 2.08971e-15 1.91792e-15
2.25041e-15 2.03458e-15 1.02776e-16 9.40520e-17 1.99448e-15 1.83069e-15
2.15170e-15 1.94577e-15 9.83083e-17 8.99871e-17 1.90468e-15 1.74843e-15
2.05849e-15 1.86191e-15 9.40874e-17 8.61466e-17 1.81994e-15 1.67079e-15
1.97043e-15 1.78265e-15 9.00974e-17 8.25157e-17 1.73991e-15 1.59747e-15
1.88716e-15 1.70770e-15 8.63230e-17 7.90806e-17 1.66428e-15 1.52818e-15
1.80837e-15 1.63678e-15 8.27504e-17 7.58287e-17 1.59277e-15 1.46266e-15
1.73378e-15 1.56963e-15 7.93666e-17 7.27482e-17 1.52511e-15 1.40066e-15
1.66312e-15 1.50600e-15 7.61596e-17 6.98284e-17 1.46105e-15 1.34195e-15
1.59614e-15 1.44568e-15 7.31183e-17 6.70590e-17 1.40036e-15 1.28633e-15
1.53261e-15 1.38845e-15 7.02326e-17 6.44310e-17 1.34282e-15 1.23360e-15
1.47231e-15 1.33413e-15 6.74927e-17 6.19354e-17 1.28826e-15 1.18359e-15
1.41505e-15 1.28254e-15 6.48899e-17 5.95645e-17 1.23647e-15 1.13612e-15
1.36065e-15 1.23352e-15 6.24160e-17 5.73106e-17 1.18730e-15 1.09105e-15
1.30892e-15 1.18691e-15 6.00632e-17 5.51668e-17 1.14058e-15 1.04822e-15
1.25973e-15 1.14256e-15 5.78245e-17 5.31266e-17 1.09617e-15 1.00751e-15
