# N0-SQE,   N0-GMV,  N1-SQE,  N1-GMV,  N0-SQE(curl), N0-GMV(curl)
1.46117e-15 1.29992e-15 3.61346e-16 3.37543e-16 7.09288e-16 6.57036e-16
1.37645e-15 1.22476e-15 3.40721e-16 3.18308e-16 6.67792e-16 6.18620e-16
1.29783e-15 1.15500e-15 3.21569e-16 3.00446e-16 6.29296e-16 5.82979e-16
1.22479e-15 1.09018e-15 3.03765e-16 2.83841e-16 5.93542e-16 5.49877e-16
1.15687e-15 1.02990e-15 2.87196e-16 2.68387e-16 5.60300e-16 5.19099e-16
1.09362e-15 9.73764e-16 2.71762e-16 2.53991e-16 5.29359e-16 4.90452e-16
1.03468e-15 9.21442e-16 2.57369e-16 2.40565e-16 5.00531e-16 4.63760e-16
9.79694e-16 8.72626e-16 2.43932e-16 2.28031e-16 4.73646e-16 4.38867e-16
9.28346e-16 8.27035e-16 2.31377e-16 2.16319e-16 4.48548e-16 4.15627e-16
8.80349e-16 7.84416e-16 2.19634e-16 2.05363e-16 4.25095e-16 3.93911e-16
8.35446e-16 7.44539e-16 2.08639e-16 1.95105e-16 4.03161e-16 3.73601e-16
7.93398e-16 7.07194e-16 1.98335e-16 1.85491e-16 3.82629e-16 3.54588e-16
7.53989e-16 6.72190e-16 1.88670e-16 1.76473e-16 3.63392e-16 3.36774e-16
7.17023e-16 6.39351e-16 1.79596e-16 1.68006e-16 3.45353e-16 3.20069e-16
6.82320e-16 6.08519e-16 1.71069e-16 1.60050e-16 3.28424e-16 3.04391e-16
6.49713e-16 5.79547e-16 1.63051e-16 1.52567e-16 3.12523e-16 2.89666e-16
6.19054e-16 5.52301e-16 1.55503e-16 1.45523e-16 2.97577e-16 2.75824e-16
5.90202e-16 5.26660e-16 1.48393e-16 1.38888e-16 2.83518e-16 2.62803e-16
5.63032e-16 5.02509e-16 1.41692e-16 1.32633e-16 2.70282e-16 2.50545e-16
5.37426e-16 4.79747e-16 1.35371e-16 1.26733e-16 2.57813e-16 2.38997e-16
5.13277e-16 4.58278e-16 1.29406e-16 1.21165e-16 2.46058e-16 2.28109e-16
4.90487e-16 4.38013e-16 1.23772e-16 1.15905e-16 2.34969e-16 2.17838e-16
4.68963e-16 4.18873e-16 1.18448e-16 1.10935e-16 2.24499e-16 2.08140e-16
4.48623e-16 4.00783e-16 1.13413e-16 1.06235e-16 2.14610e-16 1.98980e-16
4.29388e-16 3.83674e-16 1.08649e-16 1.01787e-16 2.05261e-16 1.90320e-16
4.11187e-16 3.67483e-16 1.04139e-16 9.75753e-17 1.96418e-16 1.82128e-16
3.93954e-16 3.52150e-16 9.98652e-17 9.35849e-17 1.88049e-16 1.74375e-16
3.77627e-16 3.37622e-16 9.58139e-17 8.98017e-17 1.80122e-16 1.67033e-16
3.62149e-16 3.23848e-16 9.19709e-17 8.62129e-17 1.72612e-16 1.60075e-16
3.47467e-16 3.10781e-16 8.83232e-17 8.28063e-17 1.65490e-16 1.53477e-16
3.33533e-16 2.98377e-16 8.48590e-17 7.95708e-17 1.58734e-16 1.47218e-16
3.20301e-16 2.86597e-16 8.15671e-17 7.64961e-17 1.52321e-16 1.41277e-16
3.07729e-16 2.75403e-16 7.84371e-17 7.35724e-17 1.46231e-16 1.35634e-16
2.95777e-16 2.64760e-16 7.54593e-17 7.07908e-17 1.40443e-16 1.30271e-16
2.84409e-16 2.54636e-16 7.26249e-17 6.81430e-17 1.34941e-16 1.25173e-16
2.73591e-16 2.44999e-16 6.99255e-17 6.56210e-17 1.29707e-16 1.20323e-16
2.63290e-16 2.35823e-16 6.73532e-17 6.32178e-17 1.24725e-16 1.15707e-16
2.53478e-16 2.27081e-16 6.49009e-17 6.09265e-17 1.19982e-16 1.11312e-16
2.44127e-16 2.18748e-16 6.25619e-17 5.87409e-17 1.15464e-16 1.07125e-16
2.35210e-16 2.10801e-16 6.03300e-17 5.66552e-17 1.11158e-16 1.03134e-16
2.26704e-16 2.03219e-16 5.81993e-17 5.46640e-17 1.07052e-16 9.93290e-17
2.18585e-16 1.95982e-16 5.61644e-17 5.27623e-17 1.03134e-16 9.56988e-17
2.10834e-16 1.89071e-16 5.42201e-17 5.09450e-17 9.93959e-17 9.22340e-17
2.03429e-16 1.82467e-16 5.23616e-17 4.92079e-17 9.58264e-17 8.89257e-17
1.96352e-16 1.76156e-16 5.05843e-17 4.75465e-17 9.24167e-17 8.57655e-17
1.89586e-16 1.70121e-16 4.88839e-17 4.59570e-17 8.91584e-17 8.27454e-17
1.83115e-16 1.64348e-16 4.72565e-17 4.44356e-17 8.60434e-17 7.98581e-17
1.76922e-16 1.58823e-16 4.56982e-17 4.29787e-17 8.30642e-17 7.70966e-17
1.70994e-16 1.53533e-16 4.42056e-17 4.15831e-17 8.02137e-17 7.44543e-17
1.65318e-16 1.48467e-16 4.27752e-17 4.02456e-17 7.74853e-17 7.19251e-17
1.59879e-16 1.43612e-16 4.14039e-17 3.89634e-17 7.48728e-17 6.95032e-17
1.54667e-16 1.38959e-16 4.00888e-17 3.77335e-17 7.23703e-17 6.71832e-17
1.49670e-16 1.34497e-16 3.88271e-17 3.65535e-17 6.99722e-17 6.49600e-17
1.44877e-16 1.30217e-16 3.76161e-17 3.54208e-17 6.76734e-17 6.28288e-17
1.40279e-16 1.26110e-16 3.64533e-17 3.43332e-17 6.54690e-17 6.07849e-17
1.35865e-16 1.22168e-16 3.53364e-17 3.32885e-17 6.33543e-17 5.88242e-17
1.31628e-16 1.18381e-16 3.42633e-17 3.22846e-17 6.13250e-17 5.69426e-17
1.27558e-16 1.14744e-16 3.32318e-17 3.13196e-17 5.93769e-17 5.51363e-17
1.23647e-16 1.11250e-16 3.22399e-17 3.03916e-17 5.75062e-17 5.34016e-17
1.19888e-16 1.07890e-16 3.12860e-17 2.94990e-17 5.57092e-17 5.17353e-17
1.16275e-16 1.04659e-16 3.03682e-17 2.86402e-17 5.39824e-17 5.01340e-17
1.12799e-16 1.01552e-16 2.94849e-17 2.78135e-17 5.23226e-17 4.85947e-17
1.09456e-16 9.85615e-17 2.86345e-17 2.70177e-17 5.07266e-17 4.71146e-17
1.06238e-16 9.56834e-17 2.78155e-17 2.62512e-17 4.91916e-17 4.56910e-17
1.03140e-16 9.29123e-17 2.70266e-17 2.55127e-17 4.77147e-17 4.43212e-17
1.00157e-16 9.02434e-17 2.62665e-17 2.48011e-17 4.62933e-17 4.30029e-17
9.72838e-17 8.76722e-17 2.55337e-17 2.41152e-17 4.49249e-17 4.17337e-17
9.45152e-17 8.51942e-17 2.48272e-17 2.34537e-17 4.36072e-17 4.05114e-17
9.18467e-17 8.28056e-17 2.41459e-17 2.28157e-17 4.23379e-17 3.93340e-17
8.92741e-17 8.05023e-17 2.34885e-17 2.22001e-17 4.11148e-17 3.81995e-17
8.67930e-17 7.82806e-17 2.28541e-17 2.16060e-17 3.99361e-17 3.71060e-17
8.43997e-17 7.61372e-17 2.22418e-17 2.10325e-17 3.87997e-17 3.60518e-17
8.20904e-17 7.40686e-17 2.16505e-17 2.04787e-17 3.77038e-17 3.50351e-17
7.98615e-17 7.20718e-17 2.10794e-17 1.99437e-17 3.66467e-17 3.40544e-17
7.77096e-17 7.01436e-17 2.05277e-17 1.94268e-17 3.56268e-17 3.31081e-17
