# N0-SQE,   N0-GMV,  N1-SQE,  N1-GMV,  N0-SQE(curl), N0-GMV(curl)
4.46522e-14 4.34918e-14 5.57298e-16 5.41707e-16 9.11923e-14 8.85369e-14
4.21240e-14 4.10301e-14 5.25365e-16 5.10682e-16 8.59189e-14 8.34198e-14
3.97762e-14 3.87441e-14 4.95710e-16 4.81868e-16 8.10249e-14 7.86709e-14
3.75936e-14 3.66188e-14 4.68139e-16 4.55080e-16 7.64780e-14 7.42586e-14
3.55622e-14 3.46408e-14 4.42479e-16 4.30148e-16 7.22489e-14 7.01547e-14
3.36696e-14 3.27978e-14 4.18573e-16 4.06919e-16 6.83112e-14 6.63335e-14
3.19045e-14 3.10790e-14 3.96279e-16 3.85256e-16 6.46412e-14 6.27719e-14
3.02566e-14 2.94743e-14 3.75467e-16 3.65032e-16 6.12171e-14 5.94489e-14
2.87166e-14 2.79746e-14 3.56022e-16 3.46136e-16 5.80193e-14 5.63455e-14
2.72761e-14 2.65718e-14 3.37836e-16 3.28464e-16 5.50302e-14 5.34445e-14
2.59274e-14 2.52584e-14 3.20813e-16 3.11922e-16 5.22335e-14 5.07301e-14
2.46635e-14 2.40275e-14 3.04866e-16 2.96424e-16 4.96144e-14 4.81881e-14
2.34781e-14 2.28730e-14 2.89913e-16 2.81892e-16 4.71595e-14 4.58055e-14
2.23652e-14 2.17892e-14 2.75881e-16 2.68256e-16 4.48567e-14 4.35703e-14
2.13196e-14 2.07709e-14 2.62703e-16 2.55449e-16 4.26946e-14 4.14717e-14
2.03365e-14 1.98134e-14 2.50318e-16 2.43413e-16 4.06630e-14 3.94997e-14
1.94113e-14 1.89123e-14 2.38669e-16 2.32092e-16 3.87526e-14 3.76453e-14
1.85399e-14 1.80636e-14 2.27704e-16 2.21436e-16 3.69546e-14 3.59000e-14
1.77186e-14 1.72637e-14 2.17375e-16 2.11398e-16 3.52614e-14 3.42563e-14
1.69440e-14 1.65092e-14 2.07637e-16 2.01934e-16 3.36654e-14 3.27071e-14
1.62129e-14 1.57970e-14 1.98451e-16 1.93006e-16 3.21602e-14 3.12458e-14
1.55222e-14 1.51243e-14 1.89778e-16 1.84577e-16 3.07395e-14 2.98666e-14
1.48695e-14 1.44884e-14 1.81584e-16 1.76614e-16 2.93977e-14 2.85639e-14
1.42520e-14 1.38870e-14 1.73839e-16 1.69086e-16 2.81296e-14 2.73327e-14
1.36676e-14 1.33177e-14 1.66512e-16 1.61964e-16 2.69302e-14 2.61683e-14
1.31142e-14 1.27786e-14 1.59576e-16 1.55223e-16 2.57952e-14 2.50663e-14
1.25896e-14 1.22676e-14 1.53008e-16 1.48838e-16 2.47205e-14 2.40228e-14
1.20923e-14 1.17831e-14 1.46783e-16 1.42787e-16 2.37022e-14 2.30341e-14
1.16203e-14 1.13233e-14 1.40880e-16 1.37049e-16 2.27367e-14 2.20966e-14
1.11722e-14 1.08868e-14 1.35279e-16 1.31605e-16 2.18209e-14 2.12073e-14
1.07466e-14 1.04721e-14 1.29963e-16 1.26436e-16 2.09516e-14 2.03632e-14
1.03420e-14 1.00779e-14 1.24913e-16 1.21528e-16 2.01260e-14 1.95615e-14
9.95717e-15 9.70304e-15 1.20115e-16 1.16863e-16 1.93415e-14 1.87996e-14
9.59102e-15 9.34630e-15 1.15552e-16 1.12427e-16 1.85957e-14 1.80753e-14
9.24242e-15 9.00666e-15 1.11212e-16 1.08208e-16 1.78862e-14 1.73863e-14
8.91035e-15 8.68313e-15 1.07082e-16 1.04192e-16 1.72110e-14 1.67305e-14
8.59387e-15 8.37477e-15 1.03148e-16 1.00368e-16 1.65680e-14 1.61061e-14
8.29208e-15 8.08073e-15 9.94015e-17 9.67250e-17 1.59554e-14 1.55111e-14
8.00418e-15 7.80021e-15 9.58302e-17 9.32528e-17 1.53715e-14 1.49440e-14
7.72937e-15 7.53245e-15 9.24246e-17 8.99417e-17 1.48147e-14 1.44032e-14
7.46696e-15 7.27675e-15 8.91754e-17 8.67826e-17 1.42835e-14 1.38872e-14
7.21624e-15 7.03245e-15 8.60741e-17 8.37672e-17 1.37765e-14 1.33947e-14
6.97660e-15 6.79894e-15 8.31125e-17 8.08876e-17 1.32923e-14 1.29243e-14
6.74745e-15 6.57565e-15 8.02830e-17 7.81365e-17 1.28297e-14 1.24750e-14
6.52822e-15 6.36202e-15 7.75787e-17 7.55070e-17 1.23876e-14 1.20455e-14
6.31839e-15 6.15755e-15 7.49929e-17 7.29926e-17 1.19648e-14 1.16348e-14
6.11748e-15 5.96176e-15 7.25193e-17 7.05874e-17 1.15604e-14 1.12419e-14
5.92502e-15 5.77421e-15 7.01521e-17 6.82856e-17 1.11734e-14 1.08659e-14
5.74059e-15 5.59448e-15 6.78859e-17 6.60819e-17 1.08029e-14 1.05059e-14
5.56377e-15 5.42217e-15 6.57154e-17 6.39714e-17 1.04480e-14 1.01612e-14
5.39418e-15 5.25690e-15 6.36359e-17 6.19492e-17 1.01080e-14 9.83080e-15
5.23147e-15 5.09833e-15 6.16427e-17 6.00110e-17 9.78209e-15 9.51414e-15
5.07530e-15 4.94613e-15 5.97316e-17 5.81526e-17 9.46960e-15 9.21050e-15
4.92534e-15 4.79998e-15 5.78985e-17 5.63701e-17 9.16985e-15 8.91923e-15
4.78129e-15 4.65960e-15 5.61397e-17 5.46597e-17 8.88221e-15 8.63973e-15
4.64288e-15 4.52470e-15 5.44514e-17 5.30179e-17 8.60611e-15 8.37142e-15
4.50982e-15 4.39502e-15 5.28304e-17 5.14415e-17 8.34097e-15 8.11377e-15
4.38188e-15 4.27032e-15 5.12734e-17 4.99274e-17 8.08628e-15 7.86626e-15
4.25880e-15 4.15037e-15 4.97774e-17 4.84726e-17 7.84155e-15 7.62841e-15
