#    L    TT             EE             BB             TE          
    91   0.243676E+04   0.641298E+00   0.263665E-02  -0.172975E+02
    92   0.246617E+04   0.656938E+00   0.269536E-02  -0.179362E+02
    93   0.249587E+04   0.672557E+00   0.275476E-02  -0.185799E+02
    94   0.252564E+04   0.688117E+00   0.281486E-02  -0.192272E+02
    95   0.255571E+04   0.703618E+00   0.287566E-02  -0.198787E+02
    96   0.258577E+04   0.719045E+00   0.293716E-02  -0.205338E+02
    97   0.261628E+04   0.734383E+00   0.299937E-02  -0.211918E+02
    98   0.264701E+04   0.749626E+00   0.306230E-02  -0.218505E+02
    99   0.267782E+04   0.764734E+00   0.312593E-02  -0.225128E+02
   100   0.270893E+04   0.779710E+00   0.319029E-02  -0.231744E+02
   101   0.274019E+04   0.794611E+00   0.325537E-02  -0.238382E+02
   102   0.277197E+04   0.809289E+00   0.332118E-02  -0.245020E+02
   103   0.280368E+04   0.823819E+00   0.338772E-02  -0.251667E+02
   104   0.283562E+04   0.838200E+00   0.345499E-02  -0.258293E+02
   105   0.286772E+04   0.852359E+00   0.352300E-02  -0.264913E+02
   106   0.290004E+04   0.866368E+00   0.359175E-02  -0.271519E+02
   107   0.293230E+04   0.880080E+00   0.366125E-02  -0.278098E+02
   108   0.296494E+04   0.893570E+00   0.373151E-02  -0.284657E+02
   109   0.299773E+04   0.906761E+00   0.380251E-02  -0.291182E+02
   110   0.303061E+04   0.919656E+00   0.387428E-02  -0.297657E+02
   111   0.306365E+04   0.932327E+00   0.394681E-02  -0.304099E+02
   112   0.309685E+04   0.944700E+00   0.402011E-02  -0.310499E+02
   113   0.313029E+04   0.956775E+00   0.409418E-02  -0.316841E+02
   114   0.316380E+04   0.968476E+00   0.416902E-02  -0.323119E+02
   115   0.319755E+04   0.979953E+00   0.424465E-02  -0.329332E+02
   116   0.323131E+04   0.990981E+00   0.432107E-02  -0.335471E+02
   117   0.326538E+04   0.100164E+01   0.439828E-02  -0.341529E+02
   118   0.329960E+04   0.101206E+01   0.447629E-02  -0.347512E+02
   119   0.333382E+04   0.102212E+01   0.455510E-02  -0.353399E+02
   120   0.336821E+04   0.103164E+01   0.463472E-02  -0.359188E+02
   121   0.340260E+04   0.104095E+01   0.471515E-02  -0.364879E+02
   122   0.343707E+04   0.104972E+01   0.479640E-02  -0.370464E+02
   123   0.347162E+04   0.105805E+01   0.487848E-02  -0.375943E+02
   124   0.350624E+04   0.106599E+01   0.496138E-02  -0.381286E+02
   125   0.354088E+04   0.107349E+01   0.504513E-02  -0.386514E+02
   126   0.357559E+04   0.108061E+01   0.512972E-02  -0.391619E+02
   127   0.361031E+04   0.108720E+01   0.521516E-02  -0.396594E+02
   128   0.364503E+04   0.109341E+01   0.530146E-02  -0.401430E+02
   129   0.367982E+04   0.109909E+01   0.538862E-02  -0.406120E+02
   130   0.371462E+04   0.110425E+01   0.547666E-02  -0.410656E+02
   131   0.374942E+04   0.110902E+01   0.556557E-02  -0.415053E+02
   132   0.378430E+04   0.111327E+01   0.565537E-02  -0.419280E+02
   133   0.381910E+04   0.111706E+01   0.574606E-02  -0.423360E+02
   134   0.385391E+04   0.112040E+01   0.583765E-02  -0.427250E+02
   135   0.388872E+04   0.112321E+01   0.593015E-02  -0.430978E+02
   136   0.392339E+04   0.112549E+01   0.602357E-02  -0.434508E+02
   137   0.395805E+04   0.112732E+01   0.611790E-02  -0.437862E+02
   138   0.399265E+04   0.112862E+01   0.621317E-02  -0.441027E+02
   139   0.402703E+04   0.112953E+01   0.630938E-02  -0.443994E+02
   140   0.406149E+04   0.112985E+01   0.640652E-02  -0.446771E+02
   141   0.409573E+04   0.112964E+01   0.650463E-02  -0.449336E+02
   142   0.412997E+04   0.112897E+01   0.660369E-02  -0.451697E+02
   143   0.416415E+04   0.112785E+01   0.670372E-02  -0.453854E+02
   144   0.419810E+04   0.112620E+01   0.680472E-02  -0.455800E+02
   145   0.423192E+04   0.112417E+01   0.690671E-02  -0.457528E+02
   146   0.426581E+04   0.112153E+01   0.700968E-02  -0.459037E+02
   147   0.429934E+04   0.111852E+01   0.711365E-02  -0.460314E+02
   148   0.433273E+04   0.111498E+01   0.721862E-02  -0.461373E+02
   149   0.436605E+04   0.111099E+01   0.732460E-02  -0.462200E+02
   150   0.439908E+04   0.110661E+01   0.743159E-02  -0.462772E+02
   151   0.443197E+04   0.110178E+01   0.753960E-02  -0.463120E+02
   152   0.446457E+04   0.109642E+01   0.764864E-02  -0.463228E+02
   153   0.449702E+04   0.109069E+01   0.775870E-02  -0.463074E+02
   154   0.452925E+04   0.108457E+01   0.786980E-02  -0.462680E+02
   155   0.456126E+04   0.107808E+01   0.798194E-02  -0.462038E+02
   156   0.459290E+04   0.107121E+01   0.809512E-02  -0.461149E+02
   157   0.462447E+04   0.106395E+01   0.820935E-02  -0.459996E+02
   158   0.465573E+04   0.105640E+01   0.832463E-02  -0.458587E+02
   159   0.468670E+04   0.104839E+01   0.844096E-02  -0.456922E+02
   160   0.471743E+04   0.104008E+01   0.855835E-02  -0.454986E+02
   161   0.474794E+04   0.103155E+01   0.867679E-02  -0.452793E+02
   162   0.477813E+04   0.102263E+01   0.879629E-02  -0.450343E+02
