#    L    TT             EE             BB             TE          
   726   0.204468E+04   0.342179E+02   0.853708E-01  -0.126026E+03
   727   0.205230E+04   0.340177E+02   0.854743E-01  -0.126802E+03
   728   0.205999E+04   0.338124E+02   0.855788E-01  -0.127543E+03
   729   0.206775E+04   0.336043E+02   0.856844E-01  -0.128255E+03
   730   0.207551E+04   0.333926E+02   0.857911E-01  -0.128931E+03
   731   0.208349E+04   0.331759E+02   0.858988E-01  -0.129570E+03
   732   0.209140E+04   0.329578E+02   0.860075E-01  -0.130174E+03
   733   0.209945E+04   0.327346E+02   0.861172E-01  -0.130757E+03
   734   0.210750E+04   0.325086E+02   0.862279E-01  -0.131288E+03
   735   0.211563E+04   0.322782E+02   0.863396E-01  -0.131806E+03
   736   0.212368E+04   0.320450E+02   0.864523E-01  -0.132273E+03
   737   0.213188E+04   0.318096E+02   0.865659E-01  -0.132719E+03
   738   0.214000E+04   0.315714E+02   0.866804E-01  -0.133113E+03
   739   0.214820E+04   0.313296E+02   0.867959E-01  -0.133480E+03
   740   0.215639E+04   0.310848E+02   0.869123E-01  -0.133817E+03
   741   0.216466E+04   0.308365E+02   0.870296E-01  -0.134119E+03
   742   0.217294E+04   0.305882E+02   0.871477E-01  -0.134377E+03
   743   0.218121E+04   0.303378E+02   0.872667E-01  -0.134607E+03
   744   0.218955E+04   0.300837E+02   0.873866E-01  -0.134794E+03
   745   0.219783E+04   0.298274E+02   0.875073E-01  -0.134959E+03
   746   0.220603E+04   0.295698E+02   0.876288E-01  -0.135066E+03
   747   0.221423E+04   0.293092E+02   0.877511E-01  -0.135152E+03
   748   0.222250E+04   0.290479E+02   0.878742E-01  -0.135202E+03
   749   0.223078E+04   0.287829E+02   0.879980E-01  -0.135223E+03
   750   0.223898E+04   0.285179E+02   0.881225E-01  -0.135201E+03
   751   0.224719E+04   0.282508E+02   0.882478E-01  -0.135143E+03
   752   0.225539E+04   0.279836E+02   0.883738E-01  -0.135041E+03
   753   0.226353E+04   0.277135E+02   0.885004E-01  -0.134912E+03
   754   0.227159E+04   0.274434E+02   0.886277E-01  -0.134738E+03
   755   0.227972E+04   0.271719E+02   0.887556E-01  -0.134536E+03
   756   0.228764E+04   0.268995E+02   0.888842E-01  -0.134299E+03
   757   0.229571E+04   0.266272E+02   0.890133E-01  -0.134018E+03
   758   0.230356E+04   0.263535E+02   0.891430E-01  -0.133701E+03
   759   0.231148E+04   0.260789E+02   0.892733E-01  -0.133355E+03
   760   0.231926E+04   0.258044E+02   0.894040E-01  -0.132974E+03
   761   0.232696E+04   0.255298E+02   0.895353E-01  -0.132557E+03
   762   0.233474E+04   0.252552E+02   0.896670E-01  -0.132104E+03
   763   0.234230E+04   0.249814E+02   0.897992E-01  -0.131615E+03
   764   0.234987E+04   0.247067E+02   0.899318E-01  -0.131098E+03
   765   0.235729E+04   0.244321E+02   0.900648E-01  -0.130537E+03
   766   0.236471E+04   0.241588E+02   0.901982E-01  -0.129948E+03
   767   0.237199E+04   0.238863E+02   0.903319E-01  -0.129323E+03
   768   0.237919E+04   0.236138E+02   0.904659E-01  -0.128655E+03
   769   0.238633E+04   0.233412E+02   0.906003E-01  -0.127965E+03
   770   0.239331E+04   0.230707E+02   0.907348E-01  -0.127240E+03
   771   0.240023E+04   0.228010E+02   0.908697E-01  -0.126479E+03
   772   0.240701E+04   0.225326E+02   0.910047E-01  -0.125674E+03
   773   0.241371E+04   0.222657E+02   0.911399E-01  -0.124849E+03
   774   0.242027E+04   0.220002E+02   0.912752E-01  -0.123995E+03
   775   0.242683E+04   0.217361E+02   0.914107E-01  -0.123105E+03
   776   0.243310E+04   0.214741E+02   0.915462E-01  -0.122186E+03
   777   0.243930E+04   0.212136E+02   0.916818E-01  -0.121232E+03
   778   0.244558E+04   0.209551E+02   0.918175E-01  -0.120241E+03
   779   0.245149E+04   0.206988E+02   0.919531E-01  -0.119230E+03
   780   0.245733E+04   0.204431E+02   0.920887E-01  -0.118182E+03
   781   0.246310E+04   0.201918E+02   0.922242E-01  -0.117114E+03
   782   0.246865E+04   0.199418E+02   0.923596E-01  -0.116024E+03
   783   0.247414E+04   0.196947E+02   0.924949E-01  -0.114890E+03
   784   0.247948E+04   0.194504E+02   0.926300E-01  -0.113728E+03
   785   0.248460E+04   0.192082E+02   0.927649E-01  -0.112545E+03
   786   0.248965E+04   0.189689E+02   0.928995E-01  -0.111310E+03
   787   0.249449E+04   0.187331E+02   0.930340E-01  -0.110062E+03
   788   0.249918E+04   0.184994E+02   0.931681E-01  -0.108793E+03
   789   0.250373E+04   0.182677E+02   0.933018E-01  -0.107502E+03
   790   0.250821E+04   0.180419E+02   0.934353E-01  -0.106175E+03
   791   0.251248E+04   0.178180E+02   0.935683E-01  -0.104819E+03
   792   0.251660E+04   0.175985E+02   0.937009E-01  -0.103449E+03
   793   0.252051E+04   0.173833E+02   0.938330E-01  -0.102043E+03
   794   0.252419E+04   0.171715E+02   0.939646E-01  -0.100623E+03
   795   0.252774E+04   0.169626E+02   0.940957E-01  -0.991734E+02
   796   0.253129E+04   0.167586E+02   0.942262E-01  -0.977101E+02
   797   0.253448E+04   0.165575E+02   0.943562E-01  -0.962177E+02
   798   0.253752E+04   0.163613E+02   0.944855E-01  -0.947111E+02
   799   0.254042E+04   0.161693E+02   0.946142E-01  -0.931829E+02
   800   0.254319E+04   0.159809E+02   0.947422E-01  -0.916330E+02
   801   0.254573E+04   0.157974E+02   0.948694E-01  -0.900687E+02
   802   0.254798E+04   0.156181E+02   0.949959E-01  -0.884679E+02
   803   0.255024E+04   0.154424E+02   0.951217E-01  -0.868676E+02
   804   0.255221E+04   0.152723E+02   0.952466E-01  -0.852380E+02
   805   0.255412E+04   0.151064E+02   0.953707E-01  -0.835942E+02
   806   0.255573E+04   0.149448E+02   0.954939E-01  -0.819359E+02
   807   0.255713E+04   0.147888E+02   0.956162E-01  -0.802633E+02
   808   0.255831E+04   0.146378E+02   0.957376E-01  -0.785688E+02
   809   0.255942E+04   0.144917E+02   0.958580E-01  -0.768673E+02
   810   0.256025E+04   0.143506E+02   0.959775E-01  -0.751440E+02
   811   0.256086E+04   0.142144E+02   0.960959E-01  -0.734069E+02
   812   0.256133E+04   0.140846E+02   0.962133E-01  -0.716606E+02
   813   0.256158E+04   0.139582E+02   0.963296E-01  -0.699042E+02
   814   0.256177E+04   0.138383E+02   0.964449E-01  -0.681355E+02
   815   0.256167E+04   0.137232E+02   0.965590E-01  -0.663567E+02
   816   0.256128E+04   0.136138E+02   0.966720E-01  -0.645678E+02
   817   0.256075E+04   0.135093E+02   0.967838E-01  -0.627695E+02
   818   0.256015E+04   0.134112E+02   0.968945E-01  -0.609626E+02
   819   0.255926E+04   0.133180E+02   0.970039E-01  -0.591477E+02
   820   0.255824E+04   0.132304E+02   0.971121E-01  -0.573247E+02
   821   0.255692E+04   0.131478E+02   0.972191E-01  -0.554968E+02
   822   0.255546E+04   0.130722E+02   0.973247E-01  -0.536623E+02
   823   0.255379E+04   0.130016E+02   0.974291E-01  -0.518219E+02
   824   0.255183E+04   0.129373E+02   0.975321E-01  -0.499765E+02
   825   0.254981E+04   0.128779E+02   0.976339E-01  -0.481281E+02
   826   0.254749E+04   0.128256E+02   0.977342E-01  -0.462760E+02
   827   0.254496E+04   0.127782E+02   0.978332E-01  -0.444223E+02
   828   0.254236E+04   0.127372E+02   0.979307E-01  -0.425665E+02
   829   0.253948E+04   0.127025E+02   0.980269E-01  -0.407097E+02
   830   0.253645E+04   0.126734E+02   0.981216E-01  -0.388544E+02
   831   0.253321E+04   0.126500E+02   0.982148E-01  -0.369989E+02
   832   0.252976E+04   0.126322E+02   0.983066E-01  -0.351447E+02
   833   0.252616E+04   0.126207E+02   0.983969E-01  -0.332926E+02
   834   0.252227E+04   0.126148E+02   0.984856E-01  -0.314424E+02
   835   0.251832E+04   0.126161E+02   0.985729E-01  -0.295956E+02
   836   0.251401E+04   0.126222E+02   0.986586E-01  -0.277523E+02
   837   0.250962E+04   0.126347E+02   0.987427E-01  -0.259138E+02
   838   0.250503E+04   0.126535E+02   0.988253E-01  -0.240801E+02
   839   0.250014E+04   0.126780E+02   0.989063E-01  -0.222511E+02
   840   0.249519E+04   0.127095E+02   0.989857E-01  -0.204292E+02
   841   0.249002E+04   0.127459E+02   0.990635E-01  -0.186156E+02
   842   0.248463E+04   0.127880E+02   0.991397E-01  -0.168075E+02
   843   0.247910E+04   0.128364E+02   0.992142E-01  -0.150106E+02
   844   0.247329E+04   0.128911E+02   0.992871E-01  -0.132214E+02
   845   0.246740E+04   0.129508E+02   0.993583E-01  -0.114426E+02
   846   0.246138E+04   0.130183E+02   0.994278E-01  -0.967481E+01
   847   0.245521E+04   0.130899E+02   0.994956E-01  -0.791766E+01
   848   0.244883E+04   0.131679E+02   0.995618E-01  -0.617305E+01
   849   0.244215E+04   0.132515E+02   0.996262E-01  -0.444032E+01
   850   0.243548E+04   0.133415E+02   0.996890E-01  -0.272054E+01
   851   0.242852E+04   0.134372E+02   0.997500E-01  -0.101428E+01
   852   0.242142E+04   0.135392E+02   0.998092E-01   0.678099E+00
   853   0.241418E+04   0.136461E+02   0.998667E-01   0.235589E+01
   854   0.240672E+04   0.137594E+02   0.999225E-01   0.401770E+01
   855   0.239904E+04   0.138783E+02   0.999765E-01   0.566452E+01
   856   0.239137E+04   0.140013E+02   0.100029E+00   0.729454E+01
   857   0.238341E+04   0.141308E+02   0.100079E+00   0.890704E+01
   858   0.237530E+04   0.142673E+02   0.100128E+00   0.105020E+02
   859   0.236705E+04   0.144066E+02   0.100175E+00   0.120803E+02
   860   0.235874E+04   0.145522E+02   0.100220E+00   0.136389E+02
   861   0.235020E+04   0.147034E+02   0.100263E+00   0.151779E+02
   862   0.234153E+04   0.148595E+02   0.100305E+00   0.166980E+02
   863   0.233271E+04   0.150213E+02   0.100345E+00   0.181970E+02
   864   0.232375E+04   0.151872E+02   0.100383E+00   0.196757E+02
   865   0.231449E+04   0.153588E+02   0.100419E+00   0.211319E+02
   866   0.230547E+04   0.155353E+02   0.100453E+00   0.225664E+02
   867   0.229608E+04   0.157174E+02   0.100486E+00   0.239785E+02
   868   0.228662E+04   0.159037E+02   0.100517E+00   0.253681E+02
   869   0.227701E+04   0.160949E+02   0.100546E+00   0.267345E+02
   870   0.226726E+04   0.162903E+02   0.100573E+00   0.280771E+02
   871   0.225745E+04   0.164906E+02   0.100599E+00   0.293951E+02
   872   0.224749E+04   0.166958E+02   0.100622E+00   0.306893E+02
   873   0.223738E+04   0.169052E+02   0.100644E+00   0.319582E+02
   874   0.222721E+04   0.171196E+02   0.100665E+00   0.332011E+02
   875   0.221689E+04   0.173366E+02   0.100683E+00   0.344196E+02
   876   0.220642E+04   0.175593E+02   0.100700E+00   0.356120E+02
   877   0.219604E+04   0.177855E+02   0.100715E+00   0.367770E+02
   878   0.218536E+04   0.180152E+02   0.100728E+00   0.379154E+02
   879   0.217468E+04   0.182498E+02   0.100740E+00   0.390271E+02
   880   0.216394E+04   0.184879E+02   0.100749E+00   0.401115E+02
   881   0.215304E+04   0.187287E+02   0.100758E+00   0.411670E+02
   882   0.214208E+04   0.189738E+02   0.100764E+00   0.421945E+02
   883   0.213112E+04   0.192231E+02   0.100769E+00   0.431924E+02
   884   0.211994E+04   0.194744E+02   0.100772E+00   0.441630E+02
   885   0.210869E+04   0.197300E+02   0.100773E+00   0.451033E+02
   886   0.209744E+04   0.199891E+02   0.100773E+00   0.460142E+02
   887   0.208604E+04   0.202502E+02   0.100772E+00   0.468955E+02
   888   0.207472E+04   0.205156E+02   0.100768E+00   0.477466E+02
   889   0.206311E+04   0.207823E+02   0.100763E+00   0.485676E+02
   890   0.205157E+04   0.210533E+02   0.100757E+00   0.493568E+02
   891   0.204003E+04   0.213264E+02   0.100749E+00   0.501166E+02
   892   0.202841E+04   0.216015E+02   0.100739E+00   0.508462E+02
   893   0.201665E+04   0.218802E+02   0.100728E+00   0.515441E+02
   894   0.200497E+04   0.221603E+02   0.100716E+00   0.522104E+02
   895   0.199313E+04   0.224425E+02   0.100702E+00   0.528472E+02
   896   0.198130E+04   0.227275E+02   0.100687E+00   0.534517E+02
   897   0.196939E+04   0.230146E+02   0.100670E+00   0.540252E+02
   898   0.195756E+04   0.233032E+02   0.100652E+00   0.545671E+02
   899   0.194565E+04   0.235939E+02   0.100632E+00   0.550767E+02
   900   0.193366E+04   0.238859E+02   0.100611E+00   0.555553E+02
   901   0.192175E+04   0.241794E+02   0.100589E+00   0.560015E+02
   902   0.190976E+04   0.244744E+02   0.100565E+00   0.564162E+02
   903   0.189762E+04   0.247707E+02   0.100540E+00   0.567984E+02
   904   0.188571E+04   0.250678E+02   0.100514E+00   0.571483E+02
   905   0.187364E+04   0.253670E+02   0.100487E+00   0.574659E+02
   906   0.186157E+04   0.256662E+02   0.100458E+00   0.577512E+02
   907   0.184957E+04   0.259661E+02   0.100429E+00   0.580041E+02
   908   0.183764E+04   0.262667E+02   0.100398E+00   0.582255E+02
   909   0.182564E+04   0.265681E+02   0.100366E+00   0.584139E+02
   910   0.181356E+04   0.268709E+02   0.100332E+00   0.585714E+02
   911   0.180156E+04   0.271722E+02   0.100298E+00   0.586960E+02
   912   0.178954E+04   0.274750E+02   0.100263E+00   0.587889E+02
   913   0.177731E+04   0.277771E+02   0.100226E+00   0.588497E+02
   914   0.176544E+04   0.280792E+02   0.100189E+00   0.588796E+02
   915   0.175342E+04   0.283813E+02   0.100151E+00   0.588779E+02
   916   0.174154E+04   0.286827E+02   0.100111E+00   0.588440E+02
   917   0.172959E+04   0.289849E+02   0.100071E+00   0.587801E+02
   918   0.171778E+04   0.292856E+02   0.100030E+00   0.586838E+02
   919   0.170597E+04   0.295857E+02   0.999880E-01   0.585568E+02
   920   0.169415E+04   0.298851E+02   0.999451E-01   0.583982E+02
   921   0.168248E+04   0.301837E+02   0.999014E-01   0.582087E+02
   922   0.167073E+04   0.304810E+02   0.998568E-01   0.579892E+02
   923   0.165905E+04   0.307769E+02   0.998115E-01   0.577396E+02
   924   0.164743E+04   0.310721E+02   0.997655E-01   0.574591E+02
   925   0.163597E+04   0.313653E+02   0.997188E-01   0.571485E+02
   926   0.162442E+04   0.316577E+02   0.996713E-01   0.568093E+02
   927   0.161301E+04   0.319481E+02   0.996232E-01   0.564399E+02
   928   0.160168E+04   0.322371E+02   0.995745E-01   0.560411E+02
   929   0.159034E+04   0.325240E+02   0.995251E-01   0.556143E+02
   930   0.157914E+04   0.328080E+02   0.994752E-01   0.551580E+02
   931   0.156794E+04   0.330915E+02   0.994247E-01   0.546738E+02
   932   0.155688E+04   0.333714E+02   0.993737E-01   0.541615E+02
   933   0.154588E+04   0.336493E+02   0.993222E-01   0.536220E+02
   934   0.153496E+04   0.339258E+02   0.992702E-01   0.530558E+02
   935   0.152410E+04   0.341988E+02   0.992178E-01   0.524608E+02
   936   0.151339E+04   0.344691E+02   0.991649E-01   0.518399E+02
   937   0.150267E+04   0.347373E+02   0.991117E-01   0.511924E+02
   938   0.149209E+04   0.350027E+02   0.990582E-01   0.505189E+02
   939   0.148165E+04   0.352639E+02   0.990043E-01   0.498194E+02
   940   0.147121E+04   0.355231E+02   0.989501E-01   0.490946E+02
   941   0.146091E+04   0.357788E+02   0.988956E-01   0.483446E+02
   942   0.145067E+04   0.360310E+02   0.988410E-01   0.475699E+02
   943   0.144066E+04   0.362798E+02   0.987861E-01   0.467714E+02
   944   0.143070E+04   0.365251E+02   0.987310E-01   0.459482E+02
   945   0.142082E+04   0.367662E+02   0.986757E-01   0.451017E+02
   946   0.141107E+04   0.370047E+02   0.986204E-01   0.442320E+02
   947   0.140140E+04   0.372389E+02   0.985650E-01   0.433405E+02
   948   0.139171E+04   0.374704E+02   0.985095E-01   0.424264E+02
   949   0.138231E+04   0.376964E+02   0.984539E-01   0.414911E+02
   950   0.137298E+04   0.379189E+02   0.983984E-01   0.405339E+02
   951   0.136379E+04   0.381379E+02   0.983429E-01   0.395562E+02
   952   0.135474E+04   0.383529E+02   0.982874E-01   0.385587E+02
   953   0.134576E+04   0.385622E+02   0.982320E-01   0.375406E+02
   954   0.133692E+04   0.387682E+02   0.981767E-01   0.365035E+02
   955   0.132814E+04   0.389693E+02   0.981216E-01   0.354473E+02
   956   0.131950E+04   0.391663E+02   0.980666E-01   0.343719E+02
   957   0.131108E+04   0.393577E+02   0.980119E-01   0.332796E+02
   958   0.130265E+04   0.395442E+02   0.979574E-01   0.321689E+02
   959   0.129450E+04   0.397274E+02   0.979031E-01   0.310412E+02
   960   0.128642E+04   0.399051E+02   0.978491E-01   0.298987E+02
   961   0.127841E+04   0.400779E+02   0.977954E-01   0.287392E+02
   962   0.127061E+04   0.402459E+02   0.977420E-01   0.275648E+02
   963   0.126294E+04   0.404091E+02   0.976890E-01   0.263756E+02
   964   0.125542E+04   0.405667E+02   0.976364E-01   0.251729E+02
   965   0.124796E+04   0.407196E+02   0.975842E-01   0.239561E+02
   966   0.124072E+04   0.408676E+02   0.975325E-01   0.227265E+02
   967   0.123354E+04   0.410109E+02   0.974812E-01   0.214841E+02
   968   0.122649E+04   0.411471E+02   0.974304E-01   0.202297E+02
   969   0.121966E+04   0.412786E+02   0.973801E-01   0.189646E+02
   970   0.121297E+04   0.414053E+02   0.973304E-01   0.176874E+02
   971   0.120635E+04   0.415265E+02   0.972812E-01   0.164003E+02
   972   0.119986E+04   0.416415E+02   0.972326E-01   0.151039E+02
   973   0.119351E+04   0.417509E+02   0.971847E-01   0.137974E+02
   974   0.118737E+04   0.418556E+02   0.971373E-01   0.124817E+02
   975   0.118137E+04   0.419548E+02   0.970906E-01   0.111588E+02
   976   0.117551E+04   0.420470E+02   0.970446E-01   0.982800E+01
   977   0.116979E+04   0.421345E+02   0.969993E-01   0.849071E+01
   978   0.116414E+04   0.422165E+02   0.969547E-01   0.714676E+01
   979   0.115877E+04   0.422930E+02   0.969108E-01   0.579743E+01
   980   0.115346E+04   0.423632E+02   0.968677E-01   0.444253E+01
   981   0.114829E+04   0.424266E+02   0.968254E-01   0.308277E+01
   982   0.114326E+04   0.424859E+02   0.967838E-01   0.171913E+01
   983   0.113845E+04   0.425390E+02   0.967431E-01   0.351680E+00
   984   0.113369E+04   0.425844E+02   0.967032E-01  -0.101889E+01
   985   0.112915E+04   0.426258E+02   0.966641E-01  -0.239219E+01
   986   0.112468E+04   0.426610E+02   0.966258E-01  -0.376723E+01
   987   0.112034E+04   0.426900E+02   0.965885E-01  -0.514415E+01
   988   0.111622E+04   0.427143E+02   0.965520E-01  -0.652180E+01
   989   0.111224E+04   0.427316E+02   0.965164E-01  -0.789888E+01
   990   0.110839E+04   0.427464E+02   0.964818E-01  -0.927687E+01
   991   0.110468E+04   0.427520E+02   0.964480E-01  -0.106538E+02
   992   0.110112E+04   0.427522E+02   0.964152E-01  -0.120297E+02
   993   0.109762E+04   0.427462E+02   0.963833E-01  -0.134039E+02
   994   0.109433E+04   0.427354E+02   0.963524E-01  -0.147750E+02
   995   0.109125E+04   0.427184E+02   0.963225E-01  -0.161437E+02
   996   0.108824E+04   0.426937E+02   0.962935E-01  -0.175086E+02
   997   0.108537E+04   0.426657E+02   0.962655E-01  -0.188706E+02
   998   0.108264E+04   0.426308E+02   0.962385E-01  -0.202266E+02
   999   0.108005E+04   0.425905E+02   0.962125E-01  -0.215782E+02
  1000   0.107760E+04   0.425446E+02   0.961875E-01  -0.229248E+02
  1001   0.107529E+04   0.424925E+02   0.961636E-01  -0.242641E+02
  1002   0.107305E+04   0.424342E+02   0.961406E-01  -0.255969E+02
  1003   0.107102E+04   0.423711E+02   0.961187E-01  -0.269232E+02
  1004   0.106913E+04   0.423018E+02   0.960978E-01  -0.282417E+02
  1005   0.106746E+04   0.422270E+02   0.960780E-01  -0.295509E+02
  1006   0.106585E+04   0.421460E+02   0.960592E-01  -0.308522E+02
  1007   0.106431E+04   0.420595E+02   0.960415E-01  -0.321443E+02
  1008   0.106268E+04   0.419675E+02   0.960248E-01  -0.334263E+02
  1009   0.106142E+04   0.418700E+02   0.960091E-01  -0.346985E+02
  1010   0.106030E+04   0.417677E+02   0.959945E-01  -0.359600E+02
  1011   0.105925E+04   0.416607E+02   0.959810E-01  -0.372102E+02
  1012   0.105834E+04   0.415475E+02   0.959685E-01  -0.384505E+02
  1013   0.105757E+04   0.414302E+02   0.959571E-01  -0.396773E+02
  1014   0.105694E+04   0.413067E+02   0.959468E-01  -0.408929E+02
  1015   0.105630E+04   0.411792E+02   0.959375E-01  -0.420950E+02
  1016   0.105588E+04   0.410454E+02   0.959293E-01  -0.432845E+02
  1017   0.105560E+04   0.409076E+02   0.959221E-01  -0.444606E+02
  1018   0.105539E+04   0.407636E+02   0.959161E-01  -0.456226E+02
  1019   0.105525E+04   0.406162E+02   0.959110E-01  -0.467705E+02
  1020   0.105532E+04   0.404618E+02   0.959071E-01  -0.479037E+02
  1021   0.105546E+04   0.403034E+02   0.959042E-01  -0.490222E+02
  1022   0.105566E+04   0.401409E+02   0.959023E-01  -0.501252E+02
  1023   0.105601E+04   0.399728E+02   0.959015E-01  -0.512099E+02
  1024   0.105643E+04   0.398000E+02   0.959018E-01  -0.522798E+02
  1025   0.105692E+04   0.396238E+02   0.959031E-01  -0.533300E+02
  1026   0.105777E+04   0.394421E+02   0.959054E-01  -0.543649E+02
  1027   0.105846E+04   0.392578E+02   0.959088E-01  -0.553822E+02
  1028   0.105923E+04   0.390686E+02   0.959132E-01  -0.563805E+02
  1029   0.106014E+04   0.388746E+02   0.959186E-01  -0.573621E+02
  1030   0.106112E+04   0.386772E+02   0.959250E-01  -0.583247E+02
  1031   0.106202E+04   0.384757E+02   0.959324E-01  -0.592670E+02
  1032   0.106321E+04   0.382686E+02   0.959409E-01  -0.601941E+02
  1033   0.106439E+04   0.380589E+02   0.959503E-01  -0.611008E+02
  1034   0.106580E+04   0.378465E+02   0.959608E-01  -0.619872E+02
  1035   0.106720E+04   0.376292E+02   0.959722E-01  -0.628547E+02
  1036   0.106867E+04   0.374077E+02   0.959845E-01  -0.637027E+02
  1037   0.107022E+04   0.371836E+02   0.959978E-01  -0.645305E+02
  1038   0.107190E+04   0.369568E+02   0.960121E-01  -0.653379E+02
  1039   0.107366E+04   0.367257E+02   0.960273E-01  -0.661214E+02
  1040   0.107534E+04   0.364913E+02   0.960434E-01  -0.668862E+02
  1041   0.107724E+04   0.362548E+02   0.960605E-01  -0.676271E+02
  1042   0.107914E+04   0.360142E+02   0.960784E-01  -0.683485E+02
  1043   0.108111E+04   0.357708E+02   0.960972E-01  -0.690460E+02
  1044   0.108323E+04   0.355239E+02   0.961169E-01  -0.697233E+02
  1045   0.108527E+04   0.352764E+02   0.961374E-01  -0.703805E+02
  1046   0.108746E+04   0.350247E+02   0.961588E-01  -0.710100E+02
  1047   0.108972E+04   0.347702E+02   0.961810E-01  -0.716269E+02
  1048   0.109190E+04   0.345137E+02   0.962040E-01  -0.722162E+02
  1049   0.109423E+04   0.342550E+02   0.962278E-01  -0.727779E+02
  1050   0.109656E+04   0.339936E+02   0.962524E-01  -0.733196E+02
  1051   0.109897E+04   0.337300E+02   0.962778E-01  -0.738411E+02
  1052   0.110145E+04   0.334644E+02   0.963038E-01  -0.743350E+02
  1053   0.110385E+04   0.331966E+02   0.963306E-01  -0.748089E+02
  1054   0.110633E+04   0.329275E+02   0.963581E-01  -0.752627E+02
  1055   0.110881E+04   0.326570E+02   0.963863E-01  -0.756889E+02
  1056   0.111137E+04   0.323843E+02   0.964152E-01  -0.760952E+02
  1057   0.111400E+04   0.321103E+02   0.964447E-01  -0.764740E+02
  1058   0.111678E+04   0.318356E+02   0.964748E-01  -0.768327E+02
  1059   0.111948E+04   0.315587E+02   0.965055E-01  -0.771640E+02
  1060   0.112219E+04   0.312804E+02   0.965369E-01  -0.774752E+02
  1061   0.112490E+04   0.310021E+02   0.965687E-01  -0.777590E+02
  1062   0.112768E+04   0.307224E+02   0.966011E-01  -0.780228E+02
  1063   0.113032E+04   0.304420E+02   0.966341E-01  -0.782592E+02
  1064   0.113311E+04   0.301608E+02   0.966675E-01  -0.784829E+02
  1065   0.113590E+04   0.298782E+02   0.967014E-01  -0.786793E+02
  1066   0.113861E+04   0.295956E+02   0.967357E-01  -0.788482E+02
  1067   0.114148E+04   0.293129E+02   0.967705E-01  -0.789896E+02
  1068   0.114428E+04   0.290296E+02   0.968057E-01  -0.791111E+02
  1069   0.114708E+04   0.287469E+02   0.968413E-01  -0.792199E+02
  1070   0.114996E+04   0.284627E+02   0.968772E-01  -0.793013E+02
  1071   0.115269E+04   0.281799E+02   0.969134E-01  -0.793552E+02
  1072   0.115550E+04   0.278963E+02   0.969500E-01  -0.793816E+02
  1073   0.115839E+04   0.276134E+02   0.969868E-01  -0.793880E+02
  1074   0.116113E+04   0.273312E+02   0.970239E-01  -0.793743E+02
  1075   0.116395E+04   0.270481E+02   0.970613E-01  -0.793406E+02
  1076   0.116670E+04   0.267664E+02   0.970989E-01  -0.792793E+02
  1077   0.116953E+04   0.264854E+02   0.971366E-01  -0.792053E+02
  1078   0.117221E+04   0.262057E+02   0.971745E-01  -0.790888E+02
  1079   0.117490E+04   0.259258E+02   0.972126E-01  -0.789671E+02
  1080   0.117767E+04   0.256466E+02   0.972508E-01  -0.788253E+02
  1081   0.118030E+04   0.253702E+02   0.972891E-01  -0.786558E+02
  1082   0.118293E+04   0.250943E+02   0.973274E-01  -0.784660E+02
  1083   0.118557E+04   0.248190E+02   0.973658E-01  -0.782561E+02
  1084   0.118821E+04   0.245458E+02   0.974042E-01  -0.780259E+02
  1085   0.119078E+04   0.242738E+02   0.974426E-01  -0.777679E+02
  1086   0.119336E+04   0.240039E+02   0.974810E-01  -0.775045E+02
  1087   0.119587E+04   0.237360E+02   0.975194E-01  -0.771984E+02
  1088   0.119831E+04   0.234678E+02   0.975577E-01  -0.768868E+02
  1089   0.120076E+04   0.232031E+02   0.975958E-01  -0.765474E+02
  1090   0.120314E+04   0.229404E+02   0.976339E-01  -0.762024E+02
  1091   0.120553E+04   0.226789E+02   0.976718E-01  -0.758220E+02
  1092   0.120792E+04   0.224194E+02   0.977096E-01  -0.754286E+02
  1093   0.121018E+04   0.221633E+02   0.977472E-01  -0.750146E+02
  1094   0.121229E+04   0.219084E+02   0.977845E-01  -0.745874E+02
  1095   0.121456E+04   0.216576E+02   0.978217E-01  -0.741470E+02
  1096   0.121668E+04   0.214073E+02   0.978585E-01  -0.736785E+02
  1097   0.121874E+04   0.211603E+02   0.978951E-01  -0.731893E+02
  1098   0.122081E+04   0.209167E+02   0.979314E-01  -0.726867E+02
  1099   0.122281E+04   0.206758E+02   0.979674E-01  -0.721708E+02
  1100   0.122474E+04   0.204382E+02   0.980030E-01  -0.716340E+02
  1101   0.122661E+04   0.202025E+02   0.980383E-01  -0.710816E+02
  1102   0.122856E+04   0.199701E+02   0.980732E-01  -0.705111E+02
  1103   0.123029E+04   0.197411E+02   0.981076E-01  -0.699257E+02
  1104   0.123204E+04   0.195161E+02   0.981417E-01  -0.693237E+02
  1105   0.123364E+04   0.192937E+02   0.981753E-01  -0.687075E+02
  1106   0.123525E+04   0.190739E+02   0.982084E-01  -0.680754E+02
  1107   0.123680E+04   0.188581E+02   0.982410E-01  -0.674289E+02
  1108   0.123828E+04   0.186448E+02   0.982731E-01  -0.667687E+02
  1109   0.123962E+04   0.184334E+02   0.983046E-01  -0.660942E+02
  1110   0.124097E+04   0.182281E+02   0.983356E-01  -0.654066E+02
  1111   0.124218E+04   0.180262E+02   0.983661E-01  -0.647053E+02
  1112   0.124347E+04   0.178275E+02   0.983959E-01  -0.639924E+02
  1113   0.124456E+04   0.176336E+02   0.984251E-01  -0.632657E+02
